, ,1,2,3,4,5,6,7,8,9,10,11,12,13.0000,14,15,16,17.0000,18,19,20.0000,21,22,23.0000,24,25,26.0000,,
,,,ID SP,DESCRIPTION,FUEL,CD GZ,MPAN,METER CATEGORY,ETFV DT,RATE CD,RATE,SC DESCRIPTION,SC EX VAT,SC INC VAT,Change,UR1 DESCRIPTION,UR 1 EX VAT,UR 1 INC VAT,UR2 DESCRIPTION,UR 2 EX VAT,UR 2 INC VAT,UR3 DESCRIPTION,UR 3 EX VAT,UR 3 INC VAT,UR4 DESCRIPTION,UR 4 EX VAT,UR 4 INC VAT,,RATE TYPE
1,Standard_A,Standard_A1,,Standard,Electric,_A,,Standard,,,Direct Debit,Standing Charge,0.4632,0.486360,,Anytime,0.2602,0.273210,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_B,Standard_B1,,Standard,Electric,_B,,Standard,,,Direct Debit,Standing Charge,0.4703,0.493815,,Anytime,0.2511,0.263655,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_C,Standard_C1,,Standard,Electric,_C,,Standard,,,Direct Debit,Standing Charge,0.4399,0.461895,,Anytime,0.2521,0.264705,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_D,Standard_D1,,Standard,Electric,_D,,Standard,,,Direct Debit,Standing Charge,0.6622,0.695310,,Anytime,0.2714,0.284970,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_E,Standard_E1,,Standard,Electric,_E,,Standard,,,Direct Debit,Standing Charge,0.5060,0.531300,,Anytime,0.2520,0.264600,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_F,Standard_F1,,Standard,Electric,_F,,Standard,,,Direct Debit,Standing Charge,0.5698,0.598290,,Anytime,0.2499,0.262395,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_G,Standard_G1,,Standard,Electric,_G,,Standard,,,Direct Debit,Standing Charge,0.4886,0.513030,,Anytime,0.2660,0.279300,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_P,Standard_P1,,Standard,Electric,_P,,Standard,,,Direct Debit,Standing Charge,0.5797,0.608685,,Anytime,0.2570,0.269850,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_N,Standard_N1,,Standard,Electric,_N,,Standard,,,Direct Debit,Standing Charge,0.5381,0.565005,,Anytime,0.2459,0.258195,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_J,Standard_J1,,Standard,Electric,_J,,Standard,,,Direct Debit,Standing Charge,0.4573,0.480165,,Anytime,0.2636,0.276780,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_H,Standard_H1,,Standard,Electric,_H,,Standard,,,Direct Debit,Standing Charge,0.4297,0.451185,,Anytime,0.2594,0.272370,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_K,Standard_K1,,Standard,Electric,_K,,Standard,,,Direct Debit,Standing Charge,0.4932,0.517860,,Anytime,0.2629,0.276045,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_L,Standard_L1,,Standard,Electric,_L,,Standard,,,Direct Debit,Standing Charge,0.5168,0.542640,,Anytime,0.2626,0.275730,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_M,Standard_M1,,Standard,Electric,_M,,Standard,,,Direct Debit,Standing Charge,0.5584,0.586320,,Anytime,0.2493,0.261765,,,,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_A,Economy 7_A1,,Economy 7,Electric,_A,,Economy 7,,,Direct Debit,Standing Charge,0.4664,0.489720,,Peak,0.2862,0.300510,Off peak ,0.1953,0.205065,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_B,Economy 7_B1,,Economy 7,Electric,_B,,Economy 7,,,Direct Debit,Standing Charge,0.4675,0.490875,,Peak,0.2755,0.289275,Off peak ,0.1909,0.200445,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_C,Economy 7_C1,,Economy 7,Electric,_C,,Economy 7,,,Direct Debit,Standing Charge,0.4383,0.460215,,Peak,0.2695,0.282975,Off peak ,0.2015,0.211575,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_D,Economy 7_D1,,Economy 7,Electric,_D,,Economy 7,,,Direct Debit,Standing Charge,0.6590,0.691950,,Peak,0.2975,0.312375,Off peak ,0.2025,0.212625,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_E,Economy 7_E1,,Economy 7,Electric,_E,,Economy 7,,,Direct Debit,Standing Charge,0.5052,0.530460,,Peak,0.2730,0.286650,Off peak ,0.1969,0.206745,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_F,Economy 7_F1,,Economy 7,Electric,_F,,Economy 7,,,Direct Debit,Standing Charge,0.5660,0.594300,,Peak,0.2705,0.284025,Off peak ,0.1953,0.205065,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_G,Economy 7_G1,,Economy 7,Electric,_G,,Economy 7,,,Direct Debit,Standing Charge,0.4856,0.509880,,Peak,0.2940,0.308700,Off peak ,0.1941,0.203805,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_P,Economy 7_P1,,Economy 7,Electric,_P,,Economy 7,,,Direct Debit,Standing Charge,0.5873,0.616665,,Peak,0.2817,0.295785,Off peak ,0.1926,0.202230,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_N,Economy 7_N1,,Economy 7,Electric,_N,,Economy 7,,,Direct Debit,Standing Charge,0.5456,0.572880,,Peak,0.2686,0.282030,Off peak ,0.1864,0.195720,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_J,Economy 7_J1,,Economy 7,Electric,_J,,Economy 7,,,Direct Debit,Standing Charge,0.4604,0.483420,,Peak,0.2898,0.304290,Off peak ,0.1968,0.206640,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_H,Economy 7_H1,,Economy 7,Electric,_H,,Economy 7,,,Direct Debit,Standing Charge,0.4315,0.453075,,Peak,0.2820,0.296100,Off peak ,0.1989,0.208845,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_K,Economy 7_K1,,Economy 7,Electric,_K,,Economy 7,,,Direct Debit,Standing Charge,0.4880,0.512400,,Peak,0.2887,0.303135,Off peak ,0.1975,0.207375,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_L,Economy 7_L1,,Economy 7,Electric,_L,,Economy 7,,,Direct Debit,Standing Charge,0.5213,0.547365,,Peak,0.2887,0.303135,Off peak ,0.1959,0.205695,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_M,Economy 7_M1,,Economy 7,Electric,_M,,Economy 7,,,Direct Debit,Standing Charge,0.5560,0.583800,,Peak,0.2668,0.280140,Off peak ,0.2006,0.210630,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_A,Economy 10_A1,,Economy 10,Electric,_A,,Economy 10,,,Direct Debit,Standing Charge,0.4664,0.489720,,Peak,0.2811,0.295155,Off peak ,0.2150,0.225750,,,,,,,,Live Run SVT Direct Debit 
